Dados de Treino. K usado: 14

[[31.        3.999121]
 [12.        2.011721]
 [17.        4.867707]
 [22.        4.976313]
 [96.        9.591832]
 [68.        5.60912 ]
 [17.        3.128368]
 [36.        0.826309]
 [30.        1.589829]
 [15.        3.803878]
 [ 3.        4.559282]
 [30.        0.318926]
 [43.        3.388916]
 [ 5.        0.551064]
 [32.        3.955088]
 [81.        9.278873]
 [76.        9.876877]
 [11.        3.252409]
 [45.        3.056723]
 [51.        8.384157]
 [ 5.        4.489471]
 [ 9.        4.122426]
 [62.        9.847754]
 [ 3.        1.170216]
 [42.        3.391186]
 [18.        3.524245]
 [48.        0.677855]
 [28.        1.398941]
 [54.        7.366587]
 [76.        9.107044]
 [48.        3.461641]
 [95.        9.683099]]
Dados de Teste. K usado: 14

[[17.        2.006624]
 [26.        3.928903]
 [ 1.        3.119378]
 [21.        2.683636]
 [45.        1.462255]
 [23.        3.81705 ]
 [ 9.        2.580485]
 [86.        9.039727]]

Iteração: 12 :::::::::::::::::
