Dados de Treino. K usado: 13

[[ 5.        4.489471]
 [11.        3.252409]
 [51.        8.384157]
 [62.        9.847754]
 [17.        4.867707]
 [26.        3.928903]
 [96.        9.591832]
 [54.        7.366587]
 [ 3.        4.559282]
 [43.        3.388916]
 [76.        9.107044]
 [17.        2.006624]
 [ 9.        2.580485]
 [45.        3.056723]
 [ 9.        4.122426]
 [32.        3.955088]
 [48.        0.677855]
 [12.        2.011721]
 [42.        3.391186]
 [48.        3.461641]
 [17.        3.128368]
 [ 5.        0.551064]
 [18.        3.524245]
 [81.        9.278873]
 [23.        3.81705 ]
 [ 3.        1.170216]
 [36.        0.826309]
 [ 1.        3.119378]
 [22.        4.976313]
 [86.        9.039727]
 [28.        1.398941]
 [30.        0.318926]]
Dados de Teste. K usado: 13

[[95.        9.683099]
 [31.        3.999121]
 [76.        9.876877]
 [68.        5.60912 ]
 [30.        1.589829]
 [21.        2.683636]
 [15.        3.803878]
 [45.        1.462255]]

Iteração: 2 :::::::::::::::::
