Dados de Treino. K usado: 13

[[0.50395448 0.36780993 0.58788258 0.47186748 0.37262071 0.05458566]
 [0.41714892 0.45462665 0.55459101 0.3436054  0.36025379 0.02472067]
 [0.35570988 0.51982851 0.22919277 0.25087914 0.30745241 0.02516294]
 ...
 [0.48225309 0.50893176 0.61714695 0.37793818 0.57909453 0.05002328]
 [0.21238426 0.28831726 0.2300877  0.23329632 0.70480697 0.0382216 ]
 [0.42679398 0.35762772 0.42240916 0.40310938 0.34691902 0.08519553]]
Dados de Teste. K usado: 13

[[0.61101466 0.99053233 0.51906211 0.25198964 0.69416066 0.30123371]
 [0.26311728 0.40032154 0.20735636 0.22394966 0.54296161 0.03968808]
 [0.44434799 0.52929618 0.6890997  0.3310198  0.72760512 0.15796089]
 [1.         0.26705966 0.30767854 1.         0.40445209 1.        ]
 [0.43441358 0.54394427 0.2657956  0.31389969 0.53532638 0.08924581]
 [0.86583719 0.78724544 0.56201897 0.60188784 0.3722981  0.21475791]
 [0.55729167 0.85459093 0.42956864 0.27096058 0.48317023 0.08763966]
 [0.30044367 0.54912469 0.29532844 0.18267629 0.50252715 0.03917598]
 [0.24479167 0.3585209  0.18793628 0.22802147 0.60909775 0.05817039]
 [0.52729552 0.46070025 0.42634688 0.44614103 0.20851704 0.12856145]
 [0.17013889 0.35869954 0.25675676 0.15630205 0.59060114 0.05668063]
 [0.34403935 0.35994998 0.44746733 0.32250602 0.55597376 0.02877095]
 [0.34008488 0.57038228 0.2246286  0.20969832 0.3583181  0.07658287]
 [0.30034722 0.38763844 0.44746733 0.26624098 0.50177438 0.09636872]
 [0.11168981 0.28474455 0.25058171 0.13862669 0.70609743 0.05758845]
 [0.42756559 0.34012147 0.43332737 0.41291875 0.47435208 0.15819367]
 [0.27748843 0.4558771  0.33649544 0.20895799 0.59974191 0.03040037]
 [0.13030478 0.40657378 0.20288169 0.09328151 0.66501774 0.01417598]
 [0.52961034 0.48856735 0.69608019 0.4339256  0.59522529 0.11461825]
 [0.1408179  0.14987496 0.32217648 0.23635018 0.74384342 0.02730447]
 [0.42062114 0.46141479 0.30875246 0.34342032 0.28400903 0.14485568]
 [0.28636188 0.6323687  0.30150349 0.12613363 0.57242714 0.03228585]
 [0.58449074 0.76080743 0.49418292 0.34554877 0.74556404 0.28379888]
 [0.6560571  0.39174705 0.48066941 0.6054044  0.48187977 0.14972067]
 [0.39429012 0.35423365 0.46670843 0.37368129 0.3294978  0.10486499]
 [0.27777778 0.22186495 0.34902452 0.3305571  0.61178621 0.0242784 ]
 [0.43209877 0.47713469 0.43726508 0.3462891  0.49575223 0.1014432 ]
 [0.44270833 0.55823508 0.58949347 0.31445493 0.39886009 0.15709963]
 [0.38715278 0.58735263 0.29980311 0.246067   0.54995161 0.02388268]
 [0.34133873 0.4685602  0.34804009 0.26364982 0.52274438 0.03696462]
 [0.26803627 0.48713826 0.13620906 0.18369424 0.47628777 0.02476723]
 [0.23726852 0.47856377 0.20583497 0.15870813 0.56199591 0.03107542]
 [0.27584877 0.29117542 0.30427779 0.29270775 0.5695236  0.04492551]
 [0.6800733  0.46463023 0.68202971 0.59069036 0.54403699 0.17490689]
 [0.30815972 0.38210075 0.58752461 0.27660559 0.46789977 0.14269088]
 [0.26774691 0.34816006 0.22373367 0.25541366 0.51736746 0.03754655]
 [0.13898534 0.43819221 0.17898693 0.08523043 0.54812345 0.02216015]
 [0.40171682 0.41264737 0.26185788 0.35054599 0.53349823 0.03708101]
 [0.42081404 0.36316542 0.39377125 0.39450305 0.5253253  0.06743482]
 [0.04947917 0.17309753 0.16609987 0.13659078 0.63372406 0.03417132]
 [0.39891975 0.71150411 0.73635225 0.19313344 0.81213034 0.23128492]
 [0.12104552 0.35709182 0.15213889 0.10993892 0.57081407 0.02907356]
 [0.23659336 0.23240443 0.18793628 0.28548954 0.50016131 0.02525605]
 [0.11554784 0.23419078 0.32620369 0.16842495 0.66706097 0.04050279]
 [0.16435185 0.29528403 0.13370324 0.18369424 0.57414776 0.02979516]
 [0.52893519 0.77509825 0.65294434 0.28474921 0.7636305  0.22562849]
 [0.18605324 0.29403358 0.27742975 0.2051638  1.         0.07304469]
 [0.59346065 0.48088603 0.71433685 0.49916713 0.54694053 0.20435289]
 [0.22038966 0.35119686 0.33891176 0.2083102  0.60565652 0.02700186]
 [0.22791281 0.23258307 0.34902452 0.27716084 0.43854178 0.08472998]
 [0.23881173 0.23633441 0.15124396 0.28567463 0.51693731 0.02327747]
 [0.21103395 0.18792426 0.39681403 0.28400888 0.59436499 0.10721601]
 [0.18258102 0.33690604 0.27367102 0.17952989 0.83675664 0.00493482]
 [0.50482253 0.51321901 0.41166995 0.39737183 0.52102377 0.08947858]
 [0.17746914 0.50875313 0.11446214 0.08560059 0.44080009 0.03191341]
 [0.52565586 0.58753126 0.41972436 0.37886359 0.5379073  0.14788175]
 [0.59673997 0.82868882 0.60649723 0.32213585 0.50026885 0.15789106]
 [0.21942515 0.21686317 0.37139789 0.27716084 0.7208302  0.07195065]
 [0.16589506 0.25044659 0.12591731 0.2083102  0.45918916 0.03912942]
 [0.40952932 0.386388   0.43860748 0.37164538 0.5737176  0.11769088]
 [0.18422068 0.27224009 0.24682298 0.214603   0.52123884 0.02623371]
 [0.37104552 0.38906752 0.47995346 0.33342587 0.21744274 0.09867318]]

Iteração: 3 :::::::::::::::::
